District,Poverty (%),Median_Household_Income,Pop_Total,Pop_M,Pop_F,Sex Ratio
1,15.0,56008,711282,357637,353645,1.0112881562018408
2,11.4,79338,722370,357376,364994,0.9791284240288881
3,13.8,70807,748104,370187,377917,0.9795457732782595
4,8.8,78285,754525,377608,376917,1.0018332948633253
5,9.5,83141,730955,359113,371842,0.9657677185471248
6,17.1,62594,777985,380830,397155,0.9588951416953079
7,12.0,81435,753640,368543,385097,0.9570134277857267
8,18.2,56311,717107,361408,355699,1.0160500872929077
9,13.7,74078,775148,380595,394553,0.964623257204989
10,13.6,67939,761485,380532,380953,0.9988948767958252
11,8.8,102740,762290,372843,389447,0.9573651870472747
12,10.1,118993,764043,391594,372449,1.0514030108820267
13,13.2,86963,764304,369844,394460,0.9375957004512498
14,7.1,121360,759415,378809,380606,0.9952785820507296
15,5.3,118593,789174,391330,397844,0.9836267481726506
16,25.6,50583,749967,378254,371713,1.0175969094435762
17,6.5,129602,777468,404033,373435,1.08193661547525
18,6.3,142215,750295,375370,374925,1.0011869040474761
19,8.2,109704,763028,379974,383054,0.9919593582105917
20,12.6,83722,739352,370199,369153,1.0028335134754425
21,24.9,51382,713625,375964,337661,1.113436257074403
22,16.5,65339,771095,377846,393249,0.9608314325020534
23,18.7,59881,747852,380613,367239,1.036417700734399
24,12.8,78085,738707,371237,367470,1.0102511769668272
25,12.8,83915,716257,352672,363585,0.9699850103827166
26,9.0,88047,728927,362214,366713,0.9877315502859184
27,11.7,82690,705509,339827,365682,0.9292964925809857
28,12.5,76727,709450,348013,361437,0.9628593641492155
29,16.1,61523,707741,355538,352203,1.0094689710195541
30,9.8,86771,766513,375891,390622,0.9622883503745309
31,15.0,69368,751527,368078,383449,0.9599138346950964
32,11.0,75176,716199,348260,367939,0.9465155908995785
33,7.7,117040,704818,345390,359428,0.9609434991152609
34,20.6,51744,748812,384917,363895,1.0577694115060663
35,13.9,69814,769589,382031,387558,0.9857389087568829
36,15.6,50857,752138,377080,375058,1.0053911661662995
37,17.2,67686,738174,362793,375381,0.9664660704724001
38,9.3,77214,716331,351312,365019,0.9624485300765165
39,8.6,96280,726541,354671,371870,0.9537499663861027
40,20.4,58834,716470,360732,355738,1.0140384215349498
41,14.5,70144,775626,381077,394549,0.9658546847159668
42,9.0,92503,826801,416463,410338,1.014926718948769
43,14.3,69075,753696,365298,388398,0.9405249254630559
44,19.0,59003,725177,354717,370460,0.957504183987475
45,8.3,111276,797608,390442,407166,0.9589258435134564
46,15.5,75036,735139,369917,365222,1.0128551949225402
47,13.0,73277,710853,350075,360778,0.9703335569242026
48,8.9,97682,719486,357234,362252,0.9861477645396023
49,8.2,97685,731513,365247,366266,0.9972178689804677
50,10.2,78947,751551,372451,379100,0.9824610920601424
51,19.8,53941,747510,378733,368777,1.0269973452791252
52,8.6,101130,767172,393839,373333,1.0549268347561025
53,11.4,81279,796701,396902,399799,0.9927538588140541
