ID,score,score_CNN
CA_33_2,74,77
CA_32_2,70,70
CA_30_2,66,69
CA_31_2,60,59
CA_2_2,73,70
CA_30_1,67,69
CA_35_1,72,72
CA_29_2,76,80
CA_10_1,68,70
CA_13_1,71,69
CA_14_1,77,71
CA_10_2,52,51
CA_13_2,76,77
CA_17_2,65,65
CA_19_2,72,73
CA_18_1,80,83
CA_1_1,49,56
CA_14_2,77,76
CA_18_2,86,88
CA_1_2,79,79
CA_28_1,67,70
CA_27_2,67,77
CA_23_1,71,69
CA_21_2,77,73
CA_22_2,77,78
CA_26_1,69,68
CA_16_1,77,76
CA_19_1,74,78
CA_12_2,72,74
CA_11_2,84,84
CA_16_2,75,74
CA_26_2,77,78
CA_24_1,55,65
CA_23_2,78,77
CA_24_2,84,86
CA_20_2,66,66
CA_25_1,70,65
CA_22_1,72,70
CA_7_2,76,75
CA_8_1,67,67
CA_53_2,51,51
CA_8_2,79,75
CA_9_2,71,72
CA_47_1,66,64
CA_47_2,58,62
CA_48_1,80,83
CA_51_2,67,68
CA_4_2,78,77
CA_52_2,72,73
CA_49_1,64,63
CA_17_1,87,87
CA_12_1,86,86
CA_21_1,60,63
CA_46_2,76,71
CA_11_1,71,74
CA_45_2,68,72
CA_41_2,73,74
CA_44_2,80,83
CA_42_2,78,81
CA_44_1,69,69
CA_43_2,76,72
CA_45_1,77,77
CA_20_1,80,79
CA_15_2,75,74
CA_51_1,76,77
CA_49_2,86,85
CA_5_2,63,66
CA_46_1,66,73
CA_15_1,54,53
CA_50_2,78,79
CA_40_2,69,69
CA_39_1,85,85
CA_36_2,84,85
CA_37_2,75,73
CA_38_2,76,75
CA_42_1,74,76
CA_3_1,79,76
CA_3_2,74,77
CA_40_1,74,76
CA_39_2,68,67
CA_37_1,66,73
CA_35_2,70,71
CA_48_2,75,71
CA_43_1,75,76
CA_41_1,79,80
CA_36_1,72,69
CA_38_1,72,69
CA_34_1,79,79
CA_31_1,74,74
CA_32_1,77,75
CA_2_1,70,69
CA_34_2,76,76
CA_33_1,77,80
CA_27_1,82,82
CA_28_2,84,81
CA_29_1,65,67
CA_25_2,79,79
CA_7_1,82,84
CA_5_1,58,73
CA_6_2,67,69
CA_53_1,80,81
CA_9_1,64,59
CA_6_1,69,68
CA_52_1,65,65
CA_4_1,85,83
CA_50_1,70,77
