,Total,Total,Total,Total,Republican,Republican,Republican,Republican,Democratic,Democratic,Democratic,Democratic,Other,Other,Other,Other
,Mean,Std,Min,Max,Mean,Std,Min,Max,Mean,Std,Min,Max,Mean,Std,Min,Max
vote_share,0.5236,0.1833,0.1092,0.9037,0.3913,0.1288,0.1092,0.6372,0.6214,0.1454,0.1957,0.9037,0.2009,0.067,0.1162,0.2746
ln_vote_share,-0.7237,0.4228,-2.2142,-0.1013,-1.0027,0.383,-2.2142,-0.4507,-0.5087,0.2739,-1.631,-0.1013,-1.6526,0.369,-2.1525,-1.2925
score,72.5185,7.3619,45.0,87.0,71.5479,7.974,45.0,86.0,73.3214,6.9596,51.0,87.0,67.75,0.9574,67.0,69.0
score_CNN,73.0423,7.236,49.0,88.0,72.3425,7.411,51.0,86.0,73.6071,7.2103,49.0,88.0,70.0,1.8257,68.0,72.0
Gender_M,0.672,0.4707,0.0,1.0,0.7945,0.4068,0.0,1.0,0.5893,0.4942,0.0,1.0,0.75,0.5,0.0,1.0
Gender_F,0.328,0.4707,0.0,1.0,0.2055,0.4068,0.0,1.0,0.4107,0.4942,0.0,1.0,0.25,0.5,0.0,1.0
Incumbent_0,0.4656,0.5001,0.0,1.0,0.7534,0.434,0.0,1.0,0.2589,0.44,0.0,1.0,1.0,0.0,1.0,1.0
Incumbent_1,0.5344,0.5001,0.0,1.0,0.2466,0.434,0.0,1.0,0.7411,0.44,0.0,1.0,0.0,0.0,0.0,0.0
Age,54.9048,13.881,26.0,84.0,53.863,11.6754,26.0,77.0,55.7143,14.7925,27.0,84.0,51.25,25.2636,28.0,76.0
Master & Above,0.5767,0.4954,0.0,1.0,0.3425,0.4778,0.0,1.0,0.7232,0.4494,0.0,1.0,0.75,0.5,0.0,1.0
College,0.4021,0.4916,0.0,1.0,0.6027,0.4927,0.0,1.0,0.2768,0.4494,0.0,1.0,0.25,0.5,0.0,1.0
High School,0.0212,0.1443,0.0,1.0,0.0548,0.2292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city_type_rural,0.127,0.3338,0.0,1.0,0.137,0.3462,0.0,1.0,0.1161,0.3218,0.0,1.0,0.25,0.5,0.0,1.0
city_type_transition,0.7566,0.4303,0.0,1.0,0.7534,0.434,0.0,1.0,0.7589,0.4297,0.0,1.0,0.75,0.5,0.0,1.0
city_type_urban,0.1164,0.3216,0.0,1.0,0.1096,0.3145,0.0,1.0,0.125,0.3322,0.0,1.0,0.0,0.0,0.0,0.0
Poverty (%),12.8206,4.5595,5.3,25.6,12.7274,4.562,5.3,25.6,12.7429,4.5424,5.3,25.6,16.7,4.3955,12.6,20.6
Median_Household_Income,82499.0582,21747.2378,50583.0,147196.0,81800.7945,20677.6016,50583.0,131233.0,83389.2946,22556.6204,50583.0,147196.0,70315.75,17640.8518,51744.0,86963.0
Pop_Total,745322.709,26738.9457,704482.0,826801.0,746624.0,27658.519,704482.0,826801.0,744584.8393,26493.2182,704482.0,826801.0,742234.5,20020.3613,716470.0,764304.0
Sex Ratio,0.9899,0.0351,0.9293,1.1153,0.9898,0.0343,0.9405,1.1153,0.9894,0.0353,0.9293,1.1153,1.0031,0.0497,0.9376,1.0578
N,189.0,189.0,189.0,189.0,73.0,73.0,73.0,73.0,112.0,112.0,112.0,112.0,4.0,4.0,4.0,4.0
